,wenzhang_comment
283,感情之间没有什么对与错，文章已经为自己的所做所为，弥补了这么多年，这么多年沉寂，低调，挽回，多好一个演员啊！就因为一件事被大家否定，批判，在最红最火，如日中天的时候为了马伊利为了家庭退隐，而现实中多少男人做的比他过分，而现在赔上了他的事业，家庭，还不够吗原谅吗？己所不欲 勿施于人 
284,任正非微微扬起嘴角，这个宣传做得好，小文小马你俩辛苦了 
285,宋仲基发誓说跟宋慧乔不离不弃；李晨说会一直保护范冰冰；谢霆锋说会跟张柏芝好好在一起，文章说这辈子最骄傲的是马伊琍……世间变化那么多，真正永恒不变的，陪在你身旁的只有国家！我爱你中国，爱我中华🇨🇳 
286,别的不说，文章同学的电影和电视剧拍的没毛病！支持 
287,快复出拍戏吧 
288,继续卧槽， 
289,穿越了宇宙洪荒，凝练了天地玄黄，纵是摆脱了六道轮回，也难逃那天地动，这世间唯一不变的，不过是曾经聚在一起的情谊。@马伊琍 
290,不上个五六天榜单都不合适 
291,再追一次！ 
292,再追一次！ 
293,也希望你能放下从前，开始新的人生 
294,回复@M酷酷的博:这个比装得满分 
295,拍几部新戏吧，少帅我一年看好几遍 
296,还真离了...难过😫 我最喜欢的两位演员 
297,有的网友就不要在这里杞人忧天了，管好自己，心疼自己，家家有本难念的经，爱情本就无对错，拥有过就是幸福，换做别的平常人也很正常，两个都是好演员，祝福他们越来越好！ 
298,回复@太子妃V5:没有家庭谈何所有？ 
299,加油 一直等你付出拍戲 再創佳作 
300,心疼你们......！！ 
301,你还是爱你 
302,华为加油！ 
303,可是输入法还记得 
304,看好你哟，偶像 
305,评论好少 
306,@文章同學   宋仲基发誓说跟宋慧乔不离不弃；李晨说会一直保护范冰冰；谢霆锋说会跟张柏芝好好在一起，文章说这辈子最骄傲的是马伊琍……世间变化那么多，真正永恒不变的，陪在你身旁的只有国家！ 
307,婚都离了说你爱她？？？ 
308,已阅已阅。已阅 
309,希望离开你，马伊琍后半生真的有个像贺涵一样男人爱她、疼她。 
310,预料之中的事情 
311,祝各自安好！ 
312,加油，虽然错过，但是还要向前看 
313,且行且珍惜？ 
314,我不管你的过往，现在，以后，我只要你的作品，快出新作，快出新作！ 
315,希望你有更好的作品。振作起来。 
316,各自安好 
317,还是离了 
318,希望找到灵魂的伴侣，仿佛也难！不能苟且，希望前程不是幻梦！ 
319,虽然你们这分分合合挺让人厌恶的，但是就是没办法对你生气！感情就是这样欢喜一瞬间，缘尽一念间！ 
320,唉 
321,你什么时候才能真正的长大？ 
322,文章同学，其他的我不管，你什么时候回来来呀，好久都没看到你的新作品了 
323,回复@凰兮Theme:你又知道是免费的了？ 
324,回复@致五五的手写信:马伊琍肯定很伤心，她内心还是很爱文章的 
325,"终是庄周梦了蝶,你是恩赐也是劫。 "
326,回复@三木先生的信箱:如果你在河大上学的话，我硬算可能还是个学姐，河大民生的 
327,智者不入爱河 
328,？ 
329,你 
330,回复@fanyiyihan:谁也没说不是啊 
331,5，打了一巴掌，再来和你道歉和好，面和心不和，桃花依旧，物是人非！ 
332,嗯，随遇而安吧，不管怎样依然是你的粉丝，分与合是你自己的事情其他人无权指点，你只需知道我们还喜欢你就好，喜欢你的性格，喜欢你所塑造的角色，那骨劲头我很欣赏。 
333,网络喷子真可怕………………文章我永远支持你 
334,细节打败爱情！ 
335,如果真是缘分已尽，捆绑毫无意义。各自安好 
336,心疼你，加油，把心思都放在演戏上，相信你！！！ 
337,赶快拍戏吧男神 
338,各自安好吧。希望马司令余生能够幸福，她是一个好演员，好母亲，更是好妻子。马伊琍，做最好的自己，粉丝们支持你！ 
339,一直喜欢的偶像，不管怎样，都支持你， 
340,回复@你老公叫仙洋么:碰瓷 
341,去追求你的性格和最爱吧，喜欢看你笑 
342,回复@你老公叫仙洋么:哪里都有你…… 你给我上去 
343,相知易，相守难！ 
344,你能不能重新把马伊琍追回来 
345,男明星我只喜欢张一山和你，雪豹，少帅，剃刀边缘，昨天我看到了这个新闻我还不信，打开微博才知道是真的，然后昨天我在看雪豹，正好看到萧雅死的那集，我哭了，你以前那么的风光，演技可以称得上是影帝了，不管你以前怎么样，以后我都会支持你的，我希望再次看到你活跃在屏幕前。 加油！ 
346,希望你可以找到属于自己的幸福 
